"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"ZFP91","Approved symbol","ZFP91","ZFP91 zinc finger protein, atypical E3 ubiquitin ligase","HGNC:14983","11q12.1"
"CLCN6","Approved symbol","CLCN6","chloride voltage-gated channel 6","HGNC:2024","1p36.22"
"SCN10A","Approved symbol","SCN10A","sodium voltage-gated channel alpha subunit 10","HGNC:10582","3p22.2"
"RALGAPA1","Approved symbol","RALGAPA1","Ral GTPase activating protein catalytic subunit alpha 1","HGNC:17770","14q13.2"
"SERPINA1","Approved symbol","SERPINA1","serpin family A member 1","HGNC:8941","14q32.13"
"FAM13A","Approved symbol","FAM13A","family with sequence similarity 13 member A","HGNC:19367","4q22.1"
"HMOX1","Approved symbol","HMOX1","heme oxygenase 1","HGNC:5013","22q12.3"
"ELN","Approved symbol","ELN","elastin","HGNC:3327","7q11.23"
"ELN","Alias symbol","ERLN","endoregulin","HGNC:40032","17q25.1"
"SFTPD","Approved symbol","SFTPD","surfactant protein D","HGNC:10803","10q22.3"
"CRP","Approved symbol","CRP","C-reactive protein","HGNC:2367","1q23.2"
"CRP","Alias symbol","PPIAP10","peptidylprolyl isomerase A pseudogene 10","HGNC:9264","20q13.2"
"CHRNA3","Approved symbol","CHRNA3","cholinergic receptor nicotinic alpha 3 subunit","HGNC:1957","15q25.1"
"HHIP","Approved symbol","HHIP","hedgehog interacting protein","HGNC:14866","4q31.21"
"CHRNA5","Approved symbol","CHRNA5","cholinergic receptor nicotinic alpha 5 subunit","HGNC:1959","15q25.1"
"HDAC2","Approved symbol","HDAC2","histone deacetylase 2","HGNC:4853","6q21"
"IL13","Approved symbol","IL13","interleukin 13","HGNC:5973","5q31.1"
"SCGB1A1","Approved symbol","SCGB1A1","secretoglobin family 1A member 1","HGNC:12523","11q12.3"
"GC","Approved symbol","GC","GC vitamin D binding protein","HGNC:4187","4q13.3"
"LEP","Approved symbol","LEP","leptin","HGNC:6553","7q32.1"
"CYP1A1","Approved symbol","CYP1A1","cytochrome P450 family 1 subfamily A member 1","HGNC:2595","15q24.1"
"EDN1","Approved symbol","EDN1","endothelin 1","HGNC:3176","6p24.1"
"CFTR","Approved symbol","CFTR","CF transmembrane conductance regulator","HGNC:1884","7q31.2"
"ADAM33","Approved symbol","ADAM33","ADAM metallopeptidase domain 33","HGNC:15478","20p13"
"SFTPB","Approved symbol","SFTPB","surfactant protein B","HGNC:10801","2p11.2"
"NR3C1","Approved symbol","NR3C1","nuclear receptor subfamily 3 group C member 1","HGNC:7978","5q31.3"
"GSTP1","Approved symbol","GSTP1","glutathione S-transferase pi 1","HGNC:4638","11q13.2"
"SLC6A4","Approved symbol","SLC6A4","solute carrier family 6 member 4","HGNC:11050","17q11.2"
"GSTT1","Approved symbol","GSTT1","glutathione S-transferase theta 1","HGNC:4641","22q11.23 alternate reference locus"
"CHRNB4","Approved symbol","CHRNB4","cholinergic receptor nicotinic beta 4 subunit","HGNC:1964","15q25.1"
"HYKK","Approved symbol","HYKK","hydroxylysine kinase","HGNC:34403","15q25.1"
"GSTM1","Approved symbol","GSTM1","glutathione S-transferase mu 1","HGNC:4632","1p13.3"
"SERPINA3","Approved symbol","SERPINA3","serpin family A member 3","HGNC:16","14q32.13"
"MBL2","Approved symbol","MBL2","mannose binding lectin 2","HGNC:6922","10q21.1"
"DSP","Approved symbol","DSP","desmoplakin","HGNC:3052","6p24.3"
"CXCL1","Approved symbol","CXCL1","C-X-C motif chemokine ligand 1","HGNC:4602","4q13.3"
"CYP1A2","Approved symbol","CYP1A2","cytochrome P450 family 1 subfamily A member 2","HGNC:2596","15q24.1"
"CYBA","Approved symbol","CYBA","cytochrome b-245 alpha chain","HGNC:2577","16q24.2"
"F2RL1","Approved symbol","F2RL1","F2R like trypsin receptor 1","HGNC:3538","5q13.3"
"CHRM3","Approved symbol","CHRM3","cholinergic receptor muscarinic 3","HGNC:1952","1q43"
"MIF","Approved symbol","MIF","macrophage migration inhibitory factor","HGNC:7097","22q11.23"
"MIF","Alias symbol","AMH","anti-Mullerian hormone","HGNC:464","19p13.3"
"MIF","Alias symbol","S100A9","S100 calcium binding protein A9","HGNC:10499","1q21.3"
"FOXO3","Approved symbol","FOXO3","forkhead box O3","HGNC:3821","6q21"
"CXCL2","Approved symbol","CXCL2","C-X-C motif chemokine ligand 2","HGNC:4603","4q13.3"
"BDKRB2","Approved symbol","BDKRB2","bradykinin receptor B2","HGNC:1030","14q32.2"
"NQO1","Approved symbol","NQO1","NAD(P)H quinone dehydrogenase 1","HGNC:2874","16q22.1"
"SFTPA1","Approved symbol","SFTPA1","surfactant protein A1","HGNC:10798","10q22.3"
"VDR","Approved symbol","VDR","vitamin D receptor","HGNC:12679","12q13.11"
"CD86","Approved symbol","CD86","CD86 molecule","HGNC:1705","3q13.33"
"NAT2","Approved symbol","NAT2","N-acetyltransferase 2","HGNC:7646","8p22"
"NAT2","Alias symbol","SLC38A1","solute carrier family 38 member 1","HGNC:13447","12q13.11"
"ABCC1","Approved symbol","ABCC1","ATP binding cassette subfamily C member 1 (ABCC1 blood group)","HGNC:51","16p13.11"
"RTEL1","Approved symbol","RTEL1","regulator of telomere elongation helicase 1","HGNC:15888","20q13.33"
"XRCC5","Approved symbol","XRCC5","X-ray repair cross complementing 5","HGNC:12833","2q35"
"LEPR","Approved symbol","LEPR","leptin receptor","HGNC:6554","1p31.3"
"CLCA1","Approved symbol","CLCA1","chloride channel accessory 1","HGNC:2015","1p22.3"
"CYP2E1","Approved symbol","CYP2E1","cytochrome P450 family 2 subfamily E member 1","HGNC:2631","10q26.3"
"DEFB1","Approved symbol","DEFB1","defensin beta 1","HGNC:2766","8p23.1"
"IL27","Approved symbol","IL27","interleukin 27","HGNC:19157","16p12.1-p11.2"
"IL27","Alias symbol","IL17D","interleukin 17D","HGNC:5984","13q12.11"
"IL27","Previous symbol","MYDGF","myeloid derived growth factor","HGNC:16948","19p13.3"
"LCN1","Approved symbol","LCN1","lipocalin 1","HGNC:6525","9q34.3"
"CDKN1A","Approved symbol","CDKN1A","cyclin dependent kinase inhibitor 1A","HGNC:1784","6p21.2"
"CDKN1A","Alias symbol","CDPF1","cysteine rich DPF motif domain containing 1","HGNC:33710","22q13.31"
"KLF5","Approved symbol","KLF5","KLF transcription factor 5","HGNC:6349","13q22.1"
"CDKN2A","Approved symbol","CDKN2A","cyclin dependent kinase inhibitor 2A","HGNC:1787","9p21.3"
"TNNT2","Approved symbol","TNNT2","troponin T2, cardiac type","HGNC:11949","1q32.1"
"CD8A","Approved symbol","CD8A","CD8 subunit alpha","HGNC:1706","2p11.2"
"MIR218-2","Approved symbol","MIR218-2","microRNA 218-2","HGNC:31596","5q34"
"TRPV4","Approved symbol","TRPV4","transient receptor potential cation channel subfamily V member 4","HGNC:18083","12q24.11"
"CCL1","Approved symbol","CCL1","C-C motif chemokine ligand 1","HGNC:10609","17q12"
"HLA-DPB1","Approved symbol","HLA-DPB1","major histocompatibility complex, class II, DP beta 1","HGNC:4940","6p21.32"
"HSPA1L","Approved symbol","HSPA1L","heat shock protein family A (Hsp70) member 1 like","HGNC:5234","6p21.33"
"SFTPC","Approved symbol","SFTPC","surfactant protein C","HGNC:10802","8p21.3"
"TERT","Approved symbol","TERT","telomerase reverse transcriptase","HGNC:11730","5p15.33"
"LRP1B","Approved symbol","LRP1B","LDL receptor related protein 1B","HGNC:6693","2q22.1-q22.2"
"GRIK5","Approved symbol","GRIK5","glutamate ionotropic receptor kainate type subunit 5","HGNC:4583","19q13.2"
"GRIN2B","Approved symbol","GRIN2B","glutamate ionotropic receptor NMDA type subunit 2B","HGNC:4586","12p13.1"
"IL13RA1","Approved symbol","IL13RA1","interleukin 13 receptor subunit alpha 1","HGNC:5974","Xq24"
"RAPGEF3","Approved symbol","RAPGEF3","Rap guanine nucleotide exchange factor 3","HGNC:16629","12q13.11"
"TNFSF8","Approved symbol","TNFSF8","TNF superfamily member 8","HGNC:11938","9q32-q33.1"
"TNFRSF8","Approved symbol","TNFRSF8","TNF receptor superfamily member 8","HGNC:11923","1p36.22"
"NOD2","Approved symbol","NOD2","nucleotide binding oligomerization domain containing 2","HGNC:5331","16q12.1"
"CRHR1","Approved symbol","CRHR1","corticotropin releasing hormone receptor 1","HGNC:2357","17q21.31"
"HSPA1B","Approved symbol","HSPA1B","heat shock protein family A (Hsp70) member 1B","HGNC:5233","6p21.33"
"TOLLIP","Approved symbol","TOLLIP","toll interacting protein","HGNC:16476","11p15.5"
"CHRNA7","Approved symbol","CHRNA7","cholinergic receptor nicotinic alpha 7 subunit","HGNC:1960","15q13.3"
"MTCL1","Approved symbol","MTCL1","microtubule crosslinking factor 1","HGNC:29121","18p11.22"
"EEFSEC","Approved symbol","EEFSEC","eukaryotic elongation factor, selenocysteine-tRNA specific","HGNC:24614","3q21.3"
"ADRB1","Approved symbol","ADRB1","adrenoceptor beta 1","HGNC:285","10q25.3"
"LOC107063610","Unmatched","","","",""
"LOX","Approved symbol","LOX","lysyl oxidase","HGNC:6664","5q23.1"
"SRFBP1","Approved symbol","SRFBP1","serum response factor binding protein 1","HGNC:26333","5q23.1"
"DHX34","Approved symbol","DHX34","DExH-box helicase 34","HGNC:16719","19q13.32"
"MYH9","Approved symbol","MYH9","myosin heavy chain 9","HGNC:7579","22q12.3"
"GP1BB","Approved symbol","GP1BB","glycoprotein Ib platelet subunit beta","HGNC:4440","22q11.21"
"SEPT5-GP1BB","Unmatched","","","",""
"HMGCR","Approved symbol","HMGCR","3-hydroxy-3-methylglutaryl-CoA reductase","HGNC:5006","5q13.3"
