Input	Match type	Approved symbol	Approved name	HGNC ID	Location
NOVA2	Approved symbol	NOVA2	NOVA alternative splicing regulator 2	HGNC:7887	19q13.32
PLCL2	Approved symbol	PLCL2	phospholipase C like 2	HGNC:9064	3p24.3
DOCK7	Approved symbol	DOCK7	dedicator of cytokinesis 7	HGNC:19190	1p31.3
ADAMTS5	Approved symbol	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	HGNC:221	21q21.3
NOTCH1	Approved symbol	NOTCH1	notch receptor 1	HGNC:7881	9q34.3
IL15	Approved symbol	IL15	interleukin 15	HGNC:5977	4q31.21
LAMA4	Approved symbol	LAMA4	laminin subunit alpha 4	HGNC:6484	6q21
FLCN	Approved symbol	FLCN	folliculin	HGNC:27310	17p11.2
NRDC	Approved symbol	NRDC	nardilysin convertase	HGNC:7995	1p32.3
ALDH1A1	Approved symbol	ALDH1A1	aldehyde dehydrogenase 1 family member A1	HGNC:402	9q21.13
PGAM5	Approved symbol	PGAM5	PGAM family member 5, mitochondrial serine/threonine protein phosphatase	HGNC:28763	12q24.33
PCTP	Approved symbol	PCTP	phosphatidylcholine transfer protein	HGNC:8752	17q22
LNPEP	Approved symbol	LNPEP	leucyl and cystinyl aminopeptidase	HGNC:6656	5q15
NPR3	Approved symbol	NPR3	natriuretic peptide receptor 3	HGNC:7945	5p13.3
ACOT13	Approved symbol	ACOT13	acyl-CoA thioesterase 13	HGNC:20999	6p22.3
RBPJ	Approved symbol	RBPJ	recombination signal binding protein for immunoglobulin kappa J region	HGNC:5724	4p15.2
ATF4	Approved symbol	ATF4	activating transcription factor 4	HGNC:786	22q13.1
DDIT3	Approved symbol	DDIT3	DNA damage inducible transcript 3	HGNC:2726	12q13.3
NR1H2	Approved symbol	NR1H2	nuclear receptor subfamily 1 group H member 2	HGNC:7965	19q13.3
MAP2K6	Approved symbol	MAP2K6	mitogen-activated protein kinase kinase 6	HGNC:6846	17q24.3
TLE3	Approved symbol	TLE3	TLE family member 3, transcriptional corepressor	HGNC:11839	15q23
NOVA1	Approved symbol	NOVA1	NOVA alternative splicing regulator 1	HGNC:7886	14q12
ACVR2B	Approved symbol	ACVR2B	activin A receptor type 2B	HGNC:174	3p22.2
STK11	Approved symbol	STK11	serine/threonine kinase 11	HGNC:11389	19p13.3
EIF2B5	Approved symbol	EIF2B5	eukaryotic translation initiation factor 2B subunit epsilon	HGNC:3261	3q27.1
ATXN3	Approved symbol	ATXN3	ataxin 3	HGNC:7106	14q32.12
MAP2K7	Approved symbol	MAP2K7	mitogen-activated protein kinase kinase 7	HGNC:6847	19p13.2
SUMO1	Approved symbol	SUMO1	small ubiquitin like modifier 1	HGNC:12502	2q33.1
CRYAB	Approved symbol	CRYAB	crystallin alpha B	HGNC:2389	11q23.1
HMOX1	Approved symbol	HMOX1	heme oxygenase 1	HGNC:5013	22q12.3
SCN2B	Approved symbol	SCN2B	sodium voltage-gated channel beta subunit 2	HGNC:10589	11q23.3
ZFAND1	Approved symbol	ZFAND1	zinc finger AN1-type containing 1	HGNC:25858	8q21.13
CRYAA	Approved symbol	CRYAA	crystallin alpha A	HGNC:2388	21q22.3
HSP90AB2P	Approved symbol	HSP90AB2P	heat shock protein 90 alpha family class B member 2, pseudogene	HGNC:32537	4p15.33
HSP90AB3P	Approved symbol	HSP90AB3P	heat shock protein 90 alpha family class B member 3, pseudogene	HGNC:5259	4q22.1
HSP90AB4P	Approved symbol	HSP90AB4P	heat shock protein 90 alpha family class B member 4, pseudogene	HGNC:32538	15q21.3
STAC	Approved symbol	STAC	SH3 and cysteine rich domain	HGNC:11353	3p22.3-p22.2
HSPB6	Approved symbol	HSPB6	heat shock protein family B (small) member 6	HGNC:26511	19q13.12
NOS1	Approved symbol	NOS1	nitric oxide synthase 1	HGNC:7872	12q24.22
NOS3	Approved symbol	NOS3	nitric oxide synthase 3	HGNC:7876	7q36.1
ST8SIA1	Approved symbol	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	HGNC:10869	12p12.1
ANO1	Approved symbol	ANO1	anoctamin 1	HGNC:21625	11q13.3
CXCL10	Approved symbol	CXCL10	C-X-C motif chemokine ligand 10	HGNC:10637	4q21.1
P2RX3	Approved symbol	P2RX3	purinergic receptor P2X 3	HGNC:8534	11q12.1
EIF2B2	Approved symbol	EIF2B2	eukaryotic translation initiation factor 2B subunit beta	HGNC:3258	14q24.3
EIF2B3	Approved symbol	EIF2B3	eukaryotic translation initiation factor 2B subunit gamma	HGNC:3259	1p34.1
LYN	Approved symbol	LYN	LYN proto-oncogene, Src family tyrosine kinase	HGNC:6735	8q12.1
HSP90AA1	Approved symbol	HSP90AA1	heat shock protein 90 alpha family class A member 1	HGNC:5253	14q32.31
PRKACA	Approved symbol	PRKACA	protein kinase cAMP-activated catalytic subunit alpha	HGNC:9380	19p13.12
TFEC	Approved symbol	TFEC	transcription factor EC	HGNC:11754	7q31.2
TCIM	Approved symbol	TCIM	transcriptional and immune response regulator	HGNC:1357	8p11.21
THBS1	Approved symbol	THBS1	thrombospondin 1	HGNC:11785	15q14
NF1	Approved symbol	NF1	neurofibromin 1	HGNC:7765	17q11.2
GCLC	Approved symbol	GCLC	glutamate-cysteine ligase catalytic subunit	HGNC:4311	6p12.1
DNAJB4	Approved symbol	DNAJB4	DnaJ heat shock protein family (Hsp40) member B4	HGNC:14886	1p31.1
TP53INP1	Approved symbol	TP53INP1	tumor protein p53 inducible nuclear protein 1	HGNC:18022	8q22.1
PSIP1	Approved symbol	PSIP1	PC4 and SRSF1 interacting protein 1	HGNC:9527	9p22.3
SLU7	Approved symbol	SLU7	spliceosome associated SLU7	HGNC:16939	5q33.3
HSPB2	Approved symbol	HSPB2	heat shock protein family B (small) member 2	HGNC:5247	11q23.1
SOD1	Approved symbol	SOD1	superoxide dismutase 1	HGNC:11179	21q22.11
IER5	Approved symbol	IER5	immediate early response 5	HGNC:5393	1q25.3
CRNN	Approved symbol	CRNN	cornulin	HGNC:1230	1q21.3
PIRT	Approved symbol	PIRT	phosphoinositide interacting regulator of transient receptor potential channels	HGNC:37239	17p12
PDCD6	Approved symbol	PDCD6	programmed cell death 6	HGNC:8765	5p15.33
BAG3	Approved symbol	BAG3	BAG cochaperone 3	HGNC:939	10q26.11
CLPB	Approved symbol	CLPB	ClpB family mitochondrial disaggregase	HGNC:30664	11q13.4
SCN11A	Approved symbol	SCN11A	sodium voltage-gated channel alpha subunit 11	HGNC:10583	3p22.2
EIF2B4	Approved symbol	EIF2B4	eukaryotic translation initiation factor 2B subunit delta	HGNC:3260	2p23.3
ASIC3	Approved symbol	ASIC3	acid sensing ion channel subunit 3	HGNC:101	7q36.1
DHX36	Approved symbol	DHX36	DEAH-box helicase 36	HGNC:14410	3q25.2
SLC52A3	Approved symbol	SLC52A3	solute carrier family 52 member 3	HGNC:16187	20p13
HSPB1	Approved symbol	HSPB1	heat shock protein family B (small) member 1	HGNC:5246	7q11.23
IGF1	Approved symbol	IGF1	insulin like growth factor 1	HGNC:5464	12q23.2
MICA	Approved symbol	MICA	MHC class I polypeptide-related sequence A	HGNC:7090	6p21.33
MICB	Approved symbol	MICB	MHC class I polypeptide-related sequence B	HGNC:7091	6p21.33
HPCAL4	Approved symbol	HPCAL4	hippocalcin like 4	HGNC:18212	1p34.2
CETN1	Approved symbol	CETN1	centrin 1	HGNC:1866	18p11.32
SCARA5	Approved symbol	SCARA5	scavenger receptor class A member 5	HGNC:28701	8p21.1
AKT1	Approved symbol	AKT1	AKT serine/threonine kinase 1	HGNC:391	14q32.33
EIF2B1	Approved symbol	EIF2B1	eukaryotic translation initiation factor 2B subunit alpha	HGNC:3257	12q24.31
VCP	Approved symbol	VCP	valosin containing protein	HGNC:12666	9p13.3
YWHAE	Approved symbol	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	HGNC:12851	17p13.3
EIF2S1	Approved symbol	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha	HGNC:3265	14q23.3
FGF1	Approved symbol	FGF1	fibroblast growth factor 1	HGNC:3665	5q31.3
HTRA2	Approved symbol	HTRA2	HtrA serine peptidase 2	HGNC:14348	2p13.1
MTOR	Approved symbol	MTOR	mechanistic target of rapamycin kinase	HGNC:3942	1p36.22
HSP90AA2P	Approved symbol	HSP90AA2P	heat shock protein 90 alpha family class A member 2, pseudogene	HGNC:5256	11p14.1
CASQ1	Approved symbol	CASQ1	calsequestrin 1	HGNC:1512	1q23.2
TRPV4	Approved symbol	TRPV4	transient receptor potential cation channel subfamily V member 4	HGNC:18083	12q24.11
LRP11	Approved symbol	LRP11	LDL receptor related protein 11	HGNC:16936	6q25.1
KCNK4	Approved symbol	KCNK4	potassium two pore domain channel subfamily K member 4	HGNC:6279	11q13.1
SIX1	Approved symbol	SIX1	SIX homeobox 1	HGNC:10887	14q23.1
VSTM2A	Approved symbol	VSTM2A	V-set and transmembrane domain containing 2A	HGNC:28499	7p11.2
RREB1	Approved symbol	RREB1	ras responsive element binding protein 1	HGNC:10449	6p24.3
GATA2	Approved symbol	GATA2	GATA binding protein 2~Name Same As:- HGNC:18350	HGNC:4171	3q21.3
HNRNPU	Approved symbol	HNRNPU	heterogeneous nuclear ribonucleoprotein U	HGNC:5048	1q44
SLC7A10	Approved symbol	SLC7A10	solute carrier family 7 member 10	HGNC:11058	19q13.11
INS	Approved symbol	INS	insulin	HGNC:6081	11p15.5
FNDC5	Approved symbol	FNDC5	fibronectin type III domain containing 5	HGNC:20240	1p35.1
MAPK14	Approved symbol	MAPK14	mitogen-activated protein kinase 14	HGNC:6876	6p21.31
DUSP10	Approved symbol	DUSP10	dual specificity phosphatase 10	HGNC:3065	1q41
SIRT1	Approved symbol	SIRT1	sirtuin 1	HGNC:14929	10q21.3
SOX13	Approved symbol	SOX13	SRY-box transcription factor 13	HGNC:11192	1q32.1
METRNL	Approved symbol	METRNL	meteorin like, glial cell differentiation regulator	HGNC:27584	17q25.3
BMP7	Approved symbol	BMP7	bone morphogenetic protein 7	HGNC:1074	20q13.31
PIM1	Approved symbol	PIM1	Pim-1 proto-oncogene, serine/threonine kinase	HGNC:8986	6p21.2
CREBBP	Approved symbol	CREBBP	CREB binding lysine acetyltransferase	HGNC:2348	16p13.3
ATM	Approved symbol	ATM	ATM serine/threonine kinase	HGNC:795	11q22.3
ATR	Approved symbol	ATR	ATR checkpoint kinase	HGNC:882	3q23
GSK3B	Approved symbol	GSK3B	glycogen synthase kinase 3 beta	HGNC:4617	3q13.33
EP300	Approved symbol	EP300	EP300 lysine acetyltransferase	HGNC:3373	22q13.2
MAPKAPK2	Approved symbol	MAPKAPK2	MAPK activated protein kinase 2	HGNC:6887	1q32.1
RNF126	Approved symbol	RNF126	ring finger protein 126	HGNC:21151	19p13.3
UBR4	Approved symbol	UBR4	ubiquitin protein ligase E3 component n-recognin 4	HGNC:30313	1p36.13
UBR5	Approved symbol	UBR5	ubiquitin protein ligase E3 component n-recognin 5	HGNC:16806	8q22.3
SLC5A1	Approved symbol	SLC5A1	solute carrier family 5 member 1	HGNC:11036	22q12.3
CLDN18	Approved symbol	CLDN18	claudin 18	HGNC:2039	3q22.3
AQP1	Approved symbol	AQP1	aquaporin 1 (Colton blood group)	HGNC:633	7p14.3
CFTR	Approved symbol	CFTR	CF transmembrane conductance regulator	HGNC:1884	7q31.2
EDNRB	Approved symbol	EDNRB	endothelin receptor type B	HGNC:3180	13q22.3
SCNN1B	Approved symbol	SCNN1B	sodium channel epithelial 1 subunit beta	HGNC:10600	16p12.2
CSF2	Approved symbol	CSF2	colony stimulating factor 2	HGNC:2434	5q31.1
AHCYL1	Approved symbol	AHCYL1	adenosylhomocysteinase like 1	HGNC:344	1p13.3
SLC26A6	Approved symbol	SLC26A6	solute carrier family 26 member 6	HGNC:14472	3p21.31
AQP8	Approved symbol	AQP8	aquaporin 8	HGNC:642	16p12.1
ITPR1	Approved symbol	ITPR1	inositol 1,4,5-trisphosphate receptor type 1	HGNC:6180	3p26.1
EDN1	Approved symbol	EDN1	endothelin 1	HGNC:3176	6p24.1
PKP1	Approved symbol	PKP1	plakophilin 1	HGNC:9023	1q32.1
LAMB3	Approved symbol	LAMB3	laminin subunit beta 3	HGNC:6490	1q32.2
LRG1	Approved symbol	LRG1	leucine rich alpha-2-glycoprotein 1	HGNC:29480	19p13.3
SH2B2	Approved symbol	SH2B2	SH2B adaptor protein 2	HGNC:17381	7q22.1
SLC2A4	Approved symbol	SLC2A4	solute carrier family 2 member 4	HGNC:11009	17p13.1
CEBPA	Approved symbol	CEBPA	CCAAT enhancer binding protein alpha	HGNC:1833	19q13.11
PEX11A	Approved symbol	PEX11A	peroxisomal biogenesis factor 11 alpha	HGNC:8852	15q26.1
ARL4A	Approved symbol	ARL4A	ARF like GTPase 4A	HGNC:695	7p21.3
SLC39A13	Approved symbol	SLC39A13	solute carrier family 39 member 13	HGNC:20859	11p11.2
ALDH6A1	Approved symbol	ALDH6A1	aldehyde dehydrogenase 6 family member A1	HGNC:7179	14q24.3
BNIP3	Approved symbol	BNIP3	BCL2 interacting protein 3	HGNC:1084	10q26.3
ERO1A	Approved symbol	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha	HGNC:13280	14q22.1
MB	Approved symbol	MB	myoglobin	HGNC:6915	22q12.3
FABP3	Approved symbol	FABP3	fatty acid binding protein 3	HGNC:3557	1p35.2
ADIG	Approved symbol	ADIG	adipogenin	HGNC:28606	20q11.23
NUDT7	Approved symbol	NUDT7	nudix hydrolase 7	HGNC:8054	16q23.1
RGS2	Approved symbol	RGS2	regulator of G protein signaling 2	HGNC:9998	1q31.2
CYP4F2	Approved symbol	CYP4F2	cytochrome P450 family 4 subfamily F member 2	HGNC:2645	19p13.12
CYP4F12	Approved symbol	CYP4F12	cytochrome P450 family 4 subfamily F member 12	HGNC:18857	19p13.12
TTR	Approved symbol	TTR	transthyretin	HGNC:12405	18q12.1
HSD11B2	Approved symbol	HSD11B2	hydroxysteroid 11-beta dehydrogenase 2	HGNC:5209	16q22.1
CORO2B	Approved symbol	CORO2B	coronin 2B	HGNC:2256	15q23
EMP2	Approved symbol	EMP2	epithelial membrane protein 2	HGNC:3334	16p13.13
CYP11B2	Approved symbol	CYP11B2	cytochrome P450 family 11 subfamily B member 2	HGNC:2592	8q24.3
PTPRO	Approved symbol	PTPRO	protein tyrosine phosphatase receptor type O	HGNC:9678	12p12.3
GAS6	Approved symbol	GAS6	growth arrest specific 6	HGNC:4168	13q34
CYBA	Approved symbol	CYBA	cytochrome b-245 alpha chain	HGNC:2577	16q24.2
CYP4A11	Approved symbol	CYP4A11	cytochrome P450 family 4 subfamily A member 11	HGNC:2642	1p33
F2R	Approved symbol	F2R	coagulation factor II thrombin receptor	HGNC:3537	5q13.3
GJA5	Approved symbol	GJA5	gap junction protein alpha 5	HGNC:4279	1q21.2
PDGFB	Approved symbol	PDGFB	platelet derived growth factor subunit B	HGNC:8800	22q13.1
F2RL1	Approved symbol	F2RL1	F2R like trypsin receptor 1	HGNC:3538	5q13.3
GP9	Approved symbol	GP9	glycoprotein IX platelet	HGNC:4444	3q21.3
GPI	Approved symbol	GPI	glucose-6-phosphate isomerase	HGNC:4458	19q13.11
METAP1	Approved symbol	METAP1	methionyl aminopeptidase 1	HGNC:15789	4q23
OPRK1	Approved symbol	OPRK1	opioid receptor kappa 1	HGNC:8154	8q11.23
FERMT3	Approved symbol	FERMT3	FERM domain containing kindlin 3	HGNC:23151	11q13.1
PLCG2	Approved symbol	PLCG2	phospholipase C gamma 2	HGNC:9066	16q24.1
NPPB	Approved symbol	NPPB	natriuretic peptide B	HGNC:7940	1p36.22
PRKCD	Approved symbol	PRKCD	protein kinase C delta	HGNC:9399	3p21.1
FBLN1	Approved symbol	FBLN1	fibulin 1	HGNC:3600	22q13.31
KCNN4	Approved symbol	KCNN4	potassium calcium-activated channel subfamily N member 4	HGNC:6293	19q13.31
ACTG1	Approved symbol	ACTG1	actin gamma 1	HGNC:144	17q25.3
SHH	Approved symbol	SHH	sonic hedgehog signaling molecule	HGNC:10848	7q36.3
SLC22A2	Approved symbol	SLC22A2	solute carrier family 22 member 2	HGNC:10966	6q25.3
VTN	Approved symbol	VTN	vitronectin	HGNC:12724	17q11.2
AP3B1	Approved symbol	AP3B1	adaptor related protein complex 3 subunit beta 1	HGNC:566	5q14.1
DCANP1	Approved symbol	DCANP1	dendritic cell associated nuclear protein 1	HGNC:24459	5q31.1
UBASH3B	Approved symbol	UBASH3B	ubiquitin associated and SH3 domain containing B	HGNC:29884	11q24.1
HAS2	Approved symbol	HAS2	hyaluronan synthase 2	HGNC:4819	8q24.13
VAMP2	Approved symbol	VAMP2	vesicle associated membrane protein 2	HGNC:12643	17p13.1
NCOA1	Approved symbol	NCOA1	nuclear receptor coactivator 1	HGNC:7668	2p23.3
CELSR2	Approved symbol	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2	HGNC:3231	1p13.3
STAT5B	Approved symbol	STAT5B	signal transducer and activator of transcription 5B	HGNC:11367	17q21.2
JMJD1C	Approved symbol	JMJD1C	jumonji domain containing 1C	HGNC:12313	10q21.3
MED1	Approved symbol	MED1	mediator complex subunit 1	HGNC:9234	17q12
CSN3	Approved symbol	CSN3	casein kappa	HGNC:2446	4q13.3
PDIA3	Approved symbol	PDIA3	protein disulfide isomerase family A member 3	HGNC:4606	15q15.3
MUC2	Approved symbol	MUC2	mucin 2, oligomeric mucus/gel-forming	HGNC:7512	11p15.5
GHRHR	Approved symbol	GHRHR	growth hormone releasing hormone receptor	HGNC:4266	7p14.3
CDO1	Approved symbol	CDO1	cysteine dioxygenase type 1	HGNC:1795	5q22.3
GP5	Approved symbol	GP5	glycoprotein V platelet	HGNC:4443	3q29
HYAL2	Approved symbol	HYAL2	hyaluronidase 2	HGNC:5321	3p21.31
FAP	Approved symbol	FAP	fibroblast activation protein alpha	HGNC:3590	2q24.2
MERTK	Approved symbol	MERTK	MER proto-oncogene, tyrosine kinase	HGNC:7027	2q13
FGB	Approved symbol	FGB	fibrinogen beta chain	HGNC:3662	4q31.3
APOE	Approved symbol	APOE	apolipoprotein E	HGNC:613	19q13.32
ACTN1	Approved symbol	ACTN1	actinin alpha 1	HGNC:163	14q24.1
DDR1	Approved symbol	DDR1	discoidin domain receptor tyrosine kinase 1	HGNC:2730	6p21.33
INPP5K	Approved symbol	INPP5K	inositol polyphosphate-5-phosphatase K	HGNC:33882	17p13.3
OAS2	Approved symbol	OAS2	2''-5''-oligoadenylate synthetase 2	HGNC:8087	12q24.13
SLC6A3	Approved symbol	SLC6A3	solute carrier family 6 member 3	HGNC:11049	5p15.33
CEL	Approved symbol	CEL	carboxyl ester lipase	HGNC:1848	9q34.13
STATH	Approved symbol	STATH	statherin	HGNC:11369	4q13.3
PRRG3	Approved symbol	PRRG3	proline rich and Gla domain 3	HGNC:30798	Xq28
PRRG4	Approved symbol	PRRG4	proline rich and Gla domain 4	HGNC:30799	11p13
WNK3	Approved symbol	WNK3	WNK lysine deficient protein kinase 3	HGNC:14543	Xp11.22
FGL1	Approved symbol	FGL1	fibrinogen like 1	HGNC:3695	8p22
EMILIN2	Approved symbol	EMILIN2	elastin microfibril interfacer 2	HGNC:19881	18p11.32-p11.31
ANGPTL4	Approved symbol	ANGPTL4	angiopoietin like 4	HGNC:16039	19p13.2
FLI1	Approved symbol	FLI1	Fli-1 proto-oncogene, ETS transcription factor	HGNC:3749	11q24.3
PPP3CA	Approved symbol	PPP3CA	protein phosphatase 3 catalytic subunit alpha	HGNC:9314	4q24
COL3A1	Approved symbol	COL3A1	collagen type III alpha 1 chain	HGNC:2201	2q32.2
AQP3	Approved symbol	AQP3	aquaporin 3 (Gill blood group)	HGNC:636	9p13.3
NKX2-3	Approved symbol	NKX2-3	NK2 homeobox 3	HGNC:7836	10q24.2
VCL	Approved symbol	VCL	vinculin	HGNC:12665	10q22.2
STXBP3	Approved symbol	STXBP3	syntaxin binding protein 3	HGNC:11446	1p13.3
ADAMTS18	Approved symbol	ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	HGNC:17110	16q23.1
PF4	Approved symbol	PF4	platelet factor 4	HGNC:8861	4q13.3
VAMP8	Approved symbol	VAMP8	vesicle associated membrane protein 8	HGNC:12647	2p11.2
CD40LG	Approved symbol	CD40LG	CD40 ligand	HGNC:11935	Xq26.3
APOH	Approved symbol	APOH	apolipoprotein H	HGNC:616	17q24.2
SRC	Approved symbol	SRC	SRC proto-oncogene, non-receptor tyrosine kinase	HGNC:11283	20q11.23
SCUBE1	Approved symbol	SCUBE1	signal peptide, CUB domain and EGF like domain containing 1	HGNC:13441	22q13.2
NPR1	Approved symbol	NPR1	natriuretic peptide receptor 1	HGNC:7943	1q21.3
SOCS2	Approved symbol	SOCS2	suppressor of cytokine signaling 2	HGNC:19382	12q22
GNAQ	Approved symbol	GNAQ	G protein subunit alpha q	HGNC:4390	9q21.2
DGKA	Approved symbol	DGKA	diacylglycerol kinase alpha	HGNC:2849	12q13.2
MYL12A	Approved symbol	MYL12A	myosin light chain 12A	HGNC:16701	18p11.31
PRKACB	Approved symbol	PRKACB	protein kinase cAMP-activated catalytic subunit beta	HGNC:9381	1p31.1
GP1BB	Approved symbol	GP1BB	glycoprotein Ib platelet subunit beta	HGNC:4440	22q11.21
PROZ	Approved symbol	PROZ	protein Z, vitamin K dependent plasma glycoprotein	HGNC:9460	13q34
FZD6	Approved symbol	FZD6	frizzled class receptor 6	HGNC:4044	8q22.3
VKORC1	Approved symbol	VKORC1	vitamin K epoxide reductase complex subunit 1	HGNC:23663	16p11.2
ENTPD1	Approved symbol	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	HGNC:3363	10q24.1
TIFAB	Approved symbol	TIFAB	TIFA inhibitor	HGNC:34024	5q31.1
ERBB4	Approved symbol	ERBB4	erb-b2 receptor tyrosine kinase 4	HGNC:3432	2q34
CLIC1	Approved symbol	CLIC1	chloride intracellular channel 1	HGNC:2062	6p21.33
F2RL2	Approved symbol	F2RL2	coagulation factor II thrombin receptor like 2	HGNC:3539	5q13.3
FLNA	Approved symbol	FLNA	filamin A	HGNC:3754	Xq28
NEUROG1	Approved symbol	NEUROG1	neurogenin 1	HGNC:7764	5q31.1
AQP5	Approved symbol	AQP5	aquaporin 5	HGNC:638	12q13.12
PABPC4	Approved symbol	PABPC4	poly(A) binding protein cytoplasmic 4	HGNC:8557	1p34.3
SCT	Approved symbol	SCT	secretin	HGNC:10607	11p15.5
CTSG	Approved symbol	CTSG	cathepsin G	HGNC:2532	14q12
USF2	Approved symbol	USF2	upstream transcription factor 2, c-fos interacting	HGNC:12594	19q13.12
VAMP3	Approved symbol	VAMP3	vesicle associated membrane protein 3	HGNC:12644	1p36.23
PRKG1	Approved symbol	PRKG1	protein kinase cGMP-dependent 1	HGNC:9414	10q11.23-q21.1
SLC29A1	Approved symbol	SLC29A1	solute carrier family 29 member 1 (Augustine blood group)	HGNC:11003	6p21.1
LCK	Approved symbol	LCK	LCK proto-oncogene, Src family tyrosine kinase	HGNC:6524	1p35.2
COPA	Approved symbol	COPA	coat protein complex I subunit alpha	HGNC:2230	1q23.2
PROC	Approved symbol	PROC	protein C, inactivator of coagulation factors Va and VIIIa	HGNC:9451	2q14.3
RAB27A	Approved symbol	RAB27A	RAB27A, member RAS oncogene family	HGNC:9766	15q21.3
DGKZ	Approved symbol	DGKZ	diacylglycerol kinase zeta	HGNC:2857	11p11.2
ITPK1	Approved symbol	ITPK1	inositol-tetrakisphosphate 1-kinase	HGNC:6177	14q32.12
VWF	Approved symbol	VWF	von Willebrand factor	HGNC:12726	12p13.31
KRT1	Approved symbol	KRT1	keratin 1	HGNC:6412	12q13.13
AQP6	Approved symbol	AQP6	aquaporin 6	HGNC:639	12q13.12
MTX1	Approved symbol	MTX1	metaxin 1	HGNC:7504	1q22
ADAMTS13	Approved symbol	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	HGNC:1366	9q34.2
TSPAN32	Approved symbol	TSPAN32	tetraspanin 32	HGNC:13410	11p15.5
WNT3A	Approved symbol	WNT3A	Wnt family member 3A	HGNC:15983	1q42.13
PDIA2	Approved symbol	PDIA2	protein disulfide isomerase family A member 2	HGNC:14180	16p13.3
GPAT4	Approved symbol	GPAT4	glycerol-3-phosphate acyltransferase 4	HGNC:20880	8p11.21
MYL9	Approved symbol	MYL9	myosin light chain 9	HGNC:15754	20q11.23
HTR4	Approved symbol	HTR4	5-hydroxytryptamine receptor 4	HGNC:5299	5q32
FGF10	Approved symbol	FGF10	fibroblast growth factor 10	HGNC:3666	5p12
RAP2B	Approved symbol	RAP2B	RAP2B, member of RAS oncogene family	HGNC:9862	3q25.2
HRG	Approved symbol	HRG	histidine rich glycoprotein	HGNC:5181	3q27.3
TP73	Approved symbol	TP73	tumor protein p73	HGNC:12003	1p36.32
ILK	Approved symbol	ILK	integrin linked kinase	HGNC:6040	11p15.4
PLSCR1	Approved symbol	PLSCR1	phospholipid scramblase 1	HGNC:9092	3q24
TSPAN18	Approved symbol	TSPAN18	tetraspanin 18	HGNC:20660	11p11.2
MMRN1	Approved symbol	MMRN1	multimerin 1	HGNC:7178	4q22.1
ANGPT2	Approved symbol	ANGPT2	angiopoietin 2	HGNC:485	8p23.1
LACRT	Approved symbol	LACRT	lacritin	HGNC:16430	12q13.2
CCND1	Approved symbol	CCND1	cyclin D1	HGNC:1582	11q13.3
F2RL3	Approved symbol	F2RL3	F2R like thrombin or trypsin receptor 3	HGNC:3540	19p13.11
FN1	Approved symbol	FN1	fibronectin 1	HGNC:3778	2q35
MYH9	Approved symbol	MYH9	myosin heavy chain 9	HGNC:7579	22q12.3
ADORA2A	Approved symbol	ADORA2A	adenosine A2a receptor	HGNC:263	22q11.23
TSPAN9	Approved symbol	TSPAN9	tetraspanin 9	HGNC:21640	12p13.33-p13.32
DGKI	Approved symbol	DGKI	diacylglycerol kinase iota	HGNC:2855	7q33
PLAUR	Approved symbol	PLAUR	plasminogen activator, urokinase receptor	HGNC:9053	19q13
UMOD	Approved symbol	UMOD	uromodulin	HGNC:12559	16p12.3
PRRG1	Approved symbol	PRRG1	proline rich and Gla domain 1	HGNC:9469	Xp21.1
PRRG2	Approved symbol	PRRG2	proline rich and Gla domain 2	HGNC:9470	19q13.33
SH2B3	Approved symbol	SH2B3	SH2B adaptor protein 3	HGNC:29605	12q24.12
HPS5	Approved symbol	HPS5	HPS5 biogenesis of lysosomal organelles complex 2 subunit 2	HGNC:17022	11p15.1
SLC7A11	Approved symbol	SLC7A11	solute carrier family 7 member 11	HGNC:11059	4q28.3
TPH1	Approved symbol	TPH1	tryptophan hydroxylase 1	HGNC:12008	11p15.1
TUBB1	Approved symbol	TUBB1	tubulin beta 1 class VI	HGNC:16257	20q13.32
WNK1	Approved symbol	WNK1	WNK lysine deficient protein kinase 1	HGNC:14540	12p13.33
PLAT	Approved symbol	PLAT	plasminogen activator, tissue type	HGNC:9051	8p11.21
PLAU	Approved symbol	PLAU	plasminogen activator, urokinase	HGNC:9052	10q22.2
F12	Approved symbol	F12	coagulation factor XII	HGNC:3530	5q35.3
PLG	Approved symbol	PLG	plasminogen	HGNC:9071	6q26
F10	Approved symbol	F10	coagulation factor X	HGNC:3528	13q34
F9	Approved symbol	F9	coagulation factor IX	HGNC:3551	Xq27.1
F2	Approved symbol	F2	coagulation factor II, thrombin	HGNC:3535	11p11.2
BPIFA1	Approved symbol	BPIFA1	BPI fold containing family A member 1	HGNC:15749	20q11.21
MYO5B	Approved symbol	MYO5B	myosin VB	HGNC:7603	18q21.1
TMX1	Approved symbol	TMX1	thioredoxin related transmembrane protein 1	HGNC:15487	14q22.1
